MÃ	SALE	TÌNH TRẠNG	LINK ẢNH	LINK MAP	ĐỊA CHỈ	DIỆN TÍCH	GIÁ BÁN	PHÍ	GHI CHÚ	Sản phẩm phù hợp
MH851	Phượng		https://drive.google.com/drive/folders/1N-uzx5uJeqzltQDC6ZaHrgjU_7q-OdW7?usp=drive_link	https://maps.app.goo.gl/624PQtbv42V3JbrT7?g_st=iz	Đoan Xá 2, Đoàn Xá	94	25.000	50.000		Đầu tư dài đón song cảng, cụm cn
MH852	Lan		https://drive.google.com/drive/folders/1TWa9vz_9v6TWQwEzpWSI3acXLibgiWDQ?usp=drive_link	https://www.google.com/maps?q=%C4%90o%C3%A0n+X%C3%A1,+Ki%E1%BA%BFn+Th%E1%BB%A5y,+H%E1%BA%A3i+Ph%C3%B2ng&ftid=0x314a725b3dd8cf43:0xb3418e9d76a9a2f0&entry=gps&lucs=,94284496,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94273883,94218641,94282134,94203019,47084304,94286869&g_ep=CAISEjI1LjM4LjAuODA3MzYwMDM5MBgAINeCAyp-LDk0Mjg0NDk2LDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDk0MjgwNTY0LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjczODgzLDk0MjE4NjQxLDk0MjgyMTM0LDk0MjAzMDE5LDQ3MDg0MzA0LDk0Mjg2ODY5QgJWTg%3D%3D&skid=86c02497-987b-44b0-a229-0c368ed086e1&g_st=iz	Đoàn Xá	133,5	1.320.000	20.000		Đầu tư dài đón song cảng, cụm cn
MH853	Cảnh		https://drive.google.com/drive/folders/1NlQQWlxWZhES3eTOFeLH6-OFexrx4Z87?usp=drive_link	https://maps.app.goo.gl/FHPV4CrzhMu1wBkw9?g_st=iz	Đoan Xá 2, Kiến Hải	116	2.500.000	30.000	Dân cư đông đúc, đường thôn mới rộng, k quy hoạch	Đầu tư sóng, xây nhà ở
MH854	Lan		https://drive.google.com/drive/folders/1Bpwy8wNm53Iaai660Ii_xzboVk7phyhq?usp=drive_link	https://maps.app.goo.gl/3m9LTihBNvRWLLxH7?g_st=ipc	Cẩm La, Thanh Sơn	60	750.000	20.000		Phù hợp ở và kinh doanh,  đầu tư trung, dài hạn
MH855	Tài		https://drive.google.com/drive/folders/1T8CA2dltigbc302jYU401LMmc0jNj-pt?usp=drive_link	https://maps.app.goo.gl/qFQ8t4856kjT2yWeA?g_st=ipc	Đoàn Xá, Kiến Hải	86,5m2 + 11m2 liền kề	1.700.000	20.000	Đường thông thoáng, gần chợ, cảng	
MH856	Sinh		https://drive.google.com/drive/folders/1lMPhE6pRQRZFrU_H-ybk2KIA3Pepk_vz?usp=drive_link	https://maps.app.goo.gl/WrTQVpMv5PWsWmq79?g_st=iz	Cẩm La, Kiến Thuỵ	64,8	720.000	20.000	Dân cư đông, bán kính 500m full tiện ích	Đầu tư tài chính thấp hoặc để ở
MH857	Sinh		https://drive.google.com/drive/folders/1tv6o7Vr45TkfQ7bg2UGYiehqLBg1_lHy?usp=drive_link	https://www.google.com/maps?q=20.7514800,106.6637499&entry=gps&lucs=,94224825,94227247,94227248,94231188,47071704,94259573,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISEjI1LjEzLjUuNzQwMDEyMzg1MBgAINeCAypsLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDQ3MDcxNzA0LDk0MjU5NTczLDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjAzMDE5LDQ3MDg0MzA0LDk0MjA4NDU4LDk0MjA4NDQ3QgJWTg%3D%3D&skid=9d43c209-580c-4287-8297-b9237e9f387d&g_st=iz	Xuân La, Thanh Sơn	113	2.230.000	30.000	Khu dân cư đông, bán kính 500m2 full tiện ích	Đầu tư hoặc ơ thích trục nhựa thôn 
MH858	Định		https://drive.google.com/drive/folders/1Pz92NQ5np2yRI5al3jW-5zujZ5tUopYD?usp=drive_link	https://maps.app.goo.gl/PX5Pf2i37goDp18C6?g_st=iz	Văn Hoà, Kiến Thuỵ				Lô 1,2 gía 1ty6, phí 30tr, lô 3 giá 1650 phí 30, lô 4 bán 1ty1 phí 20	Đường thông thoáng
MH859	Cảnh		https://drive.google.com/drive/folders/1Hgp5Pc2JzcrfwzDu-anfL60JxatACxG-?usp=drive_link	https://goo.gl/maps/eX2RU3N6p51byu3g7	Văn Hoà, Kiến Thuỵ	83,5	830.000	30.000	Dân cư đông, gần trung tâm, đường to	Tài chính thấp, đầu tư dài và xây nhà ở
MH860	Sinh		https://drive.google.com/drive/folders/1EjLPwX7kl8p_h1LoEtFxHzUuSEDUDSGZ?usp=drive_link	https://maps.app.goo.gl/nz39h1tgENYhtCH5A?g_st=iz	Vũ Vị, Kiến Minh	76,5	940.000	20.000	Khu dân cư đông, bán kính 300m2 full tiện ích	Đầu tư tài chính thấp
MH861	Sơn		https://drive.google.com/drive/folders/1My10HU2JZDjC8zkDg79fZBUI6IDLb9WZ?usp=drive_link	https://maps.app.goo.gl/g8sVoqR1MK3NEFW17?g_st=iz	Xuân La, Kiến Thuỵ	93	2.500.000	40.000	Khu dân cư đông, bán kính 300m2 full tiện ích	Đầu tư trung, dài hạn hoặc ở
MH862	Sơn		https://drive.google.com/drive/folders/1wVosaNMAxk7v2sTH0qD6Rd0o07zI0OfB?usp=drive_link	https://maps.app.goo.gl/rF2LvYgrGPRq1cVVA?g_st=iz	Cẩm Hoàn, Kiến Thuỵ	120,5	3.080.000	50.000	Khu dân cư đông, bán kính 200m2 full tiện ích	Đầu tư trung, dài hạn hoặc ở
MH863	Lan		https://drive.google.com/drive/folders/1XYfQXoVTn9pqlv1xSQ6t-5ERjxfHSJRo?usp=drive_link	https://maps.app.goo.gl/HQVueni5se83B3bA6?g_st=ipc	Thái Lai, Tân Phong	79 và 80	1.250.000	30.000	Khu dân dư đông, thuận tiện giao thông	Xây nhà ở hoặc đầu tư làm nhà vường
MH864	Lan		https://drive.google.com/drive/folders/1oG1WVa_m5QUTwK0kMVbUr1R9wNad98Db?usp=drive_link	https://maps.app.goo.gl/jUyg9F8u2vudVkwi6?g_st=iz	Tân Phong	146,7	950.000	20.000	Khu dân cư động, bánn kính 500m full tiện tích	
MH865	Quân		https://drive.google.com/drive/folders/1GCIJ1eGVTkBN-FUK_FqbvhL_jSMGO6xS?usp=drive_link	https://maps.app.goo.gl/JgBy6ikJsZ664tSKA?g_st=iz	Đoàn Xá 2, Kiến Hải	236	19tr/m2	50.000		
MH866	Tài		https://drive.google.com/drive/folders/10vS2nCR4iD3Yk9uauUk-gRQvJrcPWft5?usp=drive_link	https://maps.app.goo.gl/vTNHpR7dHSBucBCo8?g_st=ipc	Hai lô Đoàn Xá, Kiến Hải	156,2 và 158,6	18tr/m2	20.000	Gần chợ, đông dân cư, gần khu tái định cư	
MH867	Quân		https://drive.google.com/drive/folders/14ouGZVcf9H2bqhdsF6zxqn10MkYLi3Ie?usp=drive_link	https://maps.app.goo.gl/rFWvd21eYbTc5KZg6?g_st=iz	Đoàn Xá, Kiến Hải	110	2.457.000	50.000		
MH868	Chinh		https://drive.google.com/drive/folders/1TE63BOypMzoYms_nfSL8Sf0qRlg6HqXQ?usp=drive_link	https://maps.app.goo.gl/yASJgHQs2p6Nsv4p9?g_st=com.google.maps.preview.copy	Kính Trực, Tân Phong	122	1.270.000	40.000		Đầu tư đón song Tân Phong, tài chính thấo, thích ngõ to rộng
